year,make,model,price
2023,Honda,Elevate,14530.0
2023,Honda,e,37140.0
2023,Honda,e Advance,37140.0
2023,Honda,Pilot Elite AWD,52030.0
2023,Honda,Pilot EX-L 8-Passenger AWD,42310.0
2023,Honda,Pilot EX-L 8-Passenger 2WD,41950.0
2023,Honda,Pilot Sport 4WD,40080.0
2023,Honda,City ZX CVT,19350.0
2023,Honda,City V CVT,16510.0
2023,Honda,New City ZX Petrol MT,17880.0
2023,Honda,New City VX Petrol MT,16400.0
2023,Honda,City Hybrid eHEV ZX,24770.0
2023,Honda,City Hybrid eHEV V,22970.0
2023,Honda,New City V Petrol MT,15030.0
2023,Honda,New City SV Petrol MT,14010.0
2023,Honda,City Hybrid ZX CVT,28520.0
2023,Honda,City Hybrid V CVT,26450.0
2023,Honda,City V,17500.0
2023,Honda,City SV,16260.0
2023,Honda,City Hybrid,26640.0
2023,Honda,HR-V VTi-S,28230.0
2023,Honda,HR-V VTi,27470.0
2023,Honda,Accord EX,29610.0
2023,Honda,Civic Type R Touring Manual,43290.0
2023,Honda,Passport EX-L,41100.0
2023,Honda,Pilot EX-L AWD,42310.0
2023,Honda,CR-V EX-L AWD,35260.0
2023,Honda,CR-V EX AWD,32610.0
2023,Honda,CR-V Hybrid Sport AWD,33950.0
2023,Honda,Civic Type R Touring,42890.0
2023,Honda,Civic Sport Sedan,24650.0
2023,Honda,Accord Hybrid Sport-L,33870.0
2023,Honda,Accord Sedan,28000.0
2023,Honda,ZR-V,25000.0
2023,BMW,i3s 120 Ah,45550.0
2023,BMW,iX3,70930.0
2023,BMW,i4 xDrive40,62600.0
2023,BMW,i7 eDrive50,106700.0
2023,BMW,iX1 xDrive30,60490.0
2023,BMW,i7 M70 xDrive,350000.0
2023,BMW,M2 Brooklyn Grau,63500.0
2023,BMW,M2 Zandvoort Blau,63000.0
2023,BMW,X1 sDrive18d M Sport,69420.0
2023,BMW,X1 sDrive18i xLine,64550.0
2023,BMW,X7 xDrive40d M Sport,179890.0
2023,BMW,X7 xDrive40i M Sport,171330.0
2023,BMW,Alpina B5 GT Sedan,156890.0
2023,BMW,Alpina B5 GT Wagon,161100.0
2023,BMW,M4 Competition Coupe,78600.0
2023,BMW,i4 eDrive35,51400.0
2023,BMW,3.0 CSL Coupe,750000.0
2023,BMW,5 Series Hybrid,56400.0
2023,BMW,4 Series M440i Gran Coupe,57450.0
2023,BMW,M8 Coupe Competition,308090.0
2023,BMW,M6,105990.0
2023,BMW,530i xDrive,57100.0
2023,BMW,530e Plug-In Hybrid,56400.0
2023,Lexus,LC 500 Edge Limited Edition,126290.0
2023,Lexus,RZ 450e Luxury,64000.0
2023,Lexus,RZ 450e Premium,58500.0
2023,Lexus,LX Ultra Luxury,126000.0
2023,Lexus,LC 500 Coupe,94000.0
2023,Lexus,IS 350 F SPORT Design AWD,44510.0
2023,Lexus,IS 300 AWD,41435.0
2023,Lexus,ES 350 F SPORT Handling,47800.0
2023,Lexus,NX 350h Luxury,49000.0
2023,Lexus,ES 300h F SPORT Design,46920.0
2023,Lexus,ES 250 F SPORT Design,45920.0
2023,Lexus,NX 250 Premium,41650.0
2023,Lexus,NX 350 F SPORT Handling,47050.0
2023,Lexus,UX 300e 73kWh,35920.0
2023,Lexus,UX 250h F SPORT HANDLING,42200.0
2023,Lexus,UX 250h Premium AWD,38630.0
2023,Lexus,UX 250h Premium,37230.0
2023,Lexus,UX 250h F SPORT DESIGN,37230.0
2023,Lexus,UX 250h AWD,36170.0
2023,Lexus,BX,57575.0
2023,Lexus,RX Hybrid 500h F Sport Performance,61600.0
2023,Lexus,NX 450h+ Plug-in Hybrid F SPORT,58400.0
2023,Lexus,RX Hybrid 350h,49000.0
2023,Lexus,IS 350 F Sport RWD,45760.0
2023,Lexus,UX Hybrid,34770.0
2023,Lexus,UX,43605.0
2023,Hyundai,Ioniq 5 LR AWD 77kWh,64960.0
2023,Hyundai,Ioniq 5 LR RWD 77kWh,56610.0
2023,Hyundai,Ioniq 6 LR AWD,49000.0
2023,Hyundai,Ioniq 6 LR RWD,45500.0
2023,Hyundai,Ioniq 6 SR RWD,41600.0
2023,Hyundai,Exter SUV,7300.0
2023,Hyundai,Exter,7300.0
2023,Hyundai,Mufasa,20000.0
2023,Hyundai,Verna SX (O) 1.5 VTVT IVT,19730.0
2023,Hyundai,Verna SX (O)1.5 VTVT,17870.0
2023,Hyundai,Verna SX 1.5 CRDi,15530.0
2023,Hyundai,loniq 6 Limited AWD,56100.0
2023,Hyundai,Ioniq 6 Limited,52600.0
2023,Hyundai,Ioniq 6 SEL AWD,51200.0
2023,Hyundai,Ioniq 6 SEL,47700.0
2023,Hyundai,Ioniq 6 SE AWD,49000.0
2023,Hyundai,Ioniq 6 SE,45500.0
2023,Hyundai,Ioniq 6 SE Standard Range,41600.0
2023,Hyundai,Verna SX 1.5 CRDi AT,16980.0
2023,Hyundai,Verna SX 1.5 VTVT IVT,17270.0
2023,Hyundai,Sonata 2.5,37120.0
2023,Hyundai,Sonata 2.0,34120.0
2023,Hyundai,Venue N Line N8 DCT,16450.0
2023,Hyundai,Verna SX 1.5 VTVT,13860.0
2023,Hyundai,Verna S Plus 1.5 CRDi,13630.0
2023,Hyundai,Venue N Line N8 DCT Dual Tone,16610.0
2023,Hyundai,Verna S Plus 1.5 VTVT,12160.0
2023,Hyundai,Verna E 1.5 VTVT,11700.0
2023,Hyundai,Venue N Line N6 DCT Dual Tone,15460.0
2023,Hyundai,Venue N Line N6 DCT,15280.0
2023,Hyundai,Venue N-Line,15190.0
2023,Hyundai,Grand i10 Nios Era,8150.0
2023,Hyundai,Aura E,9240.0
2023,Hyundai,Stargazer,12230.0
2023,Hyundai,Venue N Line,15190.0
2023,Hyundai,Elantra Manual,32900.0
2023,Hyundai,Elantra N Coupe,32920.0
2023,Hyundai,Grandeur Calligraphy Black Ink,30600.0
2023,Hyundai,Kona SE AWD,23640.0
2023,Hyundai,Kona N Line AWD,29350.0
2023,Hyundai,Palisade SE AWD,37150.0
2023,Hyundai,Palisade Limited AWD,48700.0
2023,Hyundai,Palisade Limited AWD,48700.0
2023,Hyundai,Kona N Line,27700.0
2023,Hyundai,Ioniq 5 Limited,52600.0
2023,Hyundai,Ioniq 5 SEL,46250.0
2023,Toyota,Tundra 1794 Edition Hybrid,68200.0
2023,Toyota,Urban Cruiser Hyryder,13080.0
2023,Toyota,Bz4x AWD,48800.0
2023,Toyota,Bz4x FWD,46700.0
2023,Toyota,bZ3 65kWh,24500.0
2023,Toyota,bZ3 50kWh,27500.0
2023,Toyota,Innova Crysta VX 2.4 8 STR,29150.0
2023,Toyota,Innova Crysta GX 7 STR,24450.0
2023,Toyota,Supra Plasma Orange 100 Edition,55750.0
2023,Toyota,Innova Crysta G-SLF 8 STR,23510.0
2023,Toyota,Innova Crysta G-SLF 7 STR,23450.0
2023,Toyota,Innova Hycross ZX (O) Hybrid 7 STR,36310.0
2023,Toyota,Innova Hycross ZX Hybrid 7 STR,35530.0
2023,Toyota,Innova Hycross VX (O) Hybrid 8 STR,32490.0
2023,Toyota,Innova Hycross VX (O) Hybrid 7 STR,32420.0
2023,Toyota,Prius Limited AWD-e,34460.0
2023,Toyota,Innova Hycross VX Hybrid 8 STR,30010.0
2023,Toyota,Innova Hycross VX Hybrid 7 STR,29950.0
2023,Toyota,Innova Hycross GX 8 STR,23540.0
2023,Toyota,Innova Hycross GX 7 STR,23470.0
2023,Toyota,Innova Hycross G-SLF 8 STR,22590.0
2023,Toyota,Innova Hycross G-SLF 7 STR,22540.0
2023,Toyota,Aygo X Undercover,17000.0
2023,Toyota,Land Cruiser ZX Gasoline 3.5L,536530.0
2023,Toyota,Corolla,26700.0
2023,Toyota,Prius Prime XSE Premium,35600.0
2023,Toyota,Prius Prime XSE,35600.0
2023,Toyota,Prius Prime SE,32350.0
2023,Toyota,RAV4 Prime SE Plug-in Hybrid,42340.0
2023,Toyota,Sequoia Limited 4WD,67700.0
2023,Toyota,Century SUV,170000.0
2023,Toyota,RAV4 Hybrid,30720.0
2023,Toyota,Highlander Hybrid Platinum AWD,52620.0
2023,Toyota,Highlander Platinum AWD,51220.0
2023,Toyota,Highlander Limited AWD,48020.0
2023,Toyota,Camry SE AWD,29160.0
2023,Toyota,Sienna XSE AWD,44450.0
2023,Toyota,Yaris MT 1.3,16000.0
2023,Toyota,Yaris MT 1.5,18000.0
2023,Toyota,RAV4 Hybrid XSE,35885.0
2023,KIA,EV6 Limited Edition,63000.0
2023,KIA,EV6 SR RWD,42700.0
2023,KIA,Forte LX IVT,19690.0
2023,KIA,Forte GT-Line IVT,21690.0
2023,KIA,Forte LXS IVT,19990.0
2023,KIA,Stonic Quantum Special Edition,26400.0
2023,KIA,K5 GT-Line AWD,28190.0
2023,KIA,Telluride SX-P X-Pro,52780.0
2023,KIA,Telluride SX-P X-Line,51785.0
2023,KIA,Telluride SX X-Pro,49885.0
2023,KIA,Telluride SX X-Line,48885.0
2023,KIA,Niro SX Touring,34790.0
2023,KIA,Niro SX,32490.0
2023,KIA,Niro EX Touring,31390.0
2023,KIA,Telluride S AWD,39590.0
2023,KIA,Telluride LX AWD,37690.0
2023,KIA,Sorento Hybrid EX AWD,38890.0
2023,KIA,Sorento LX AWD,31790.0
2023,KIA,Niro EV SX,44450.0
2023,KIA,EV6 GT-Line,52700.0
2023,KIA,EV6 Wind AWD,52400.0
2023,KIA,EV6 Wind,48500.0
2023,KIA,Picanto,14000.0
2023,KIA,Cerato,18380.0
2023,KIA,Sorento Plug-in Hybrid SX Prestige,49890.0
2023,KIA,Rio5 S,17490.0
2023,KIA,Carens Premium Turbo,15050.0
2023,KIA,Carnival LX Seat Package,34900.0
2023,Nissan,e-NV200,31500.0
2023,Nissan,Ariya Evolve Plus e-4ORCE,63530.0
2023,Nissan,Ariya Engage 2WD 87kWh,43190.0
2023,Nissan,Ariya Engage 2WD 63kWh,43190.0
2023,Nissan,Ariya ENGAGE Plus,51190.0
2023,Nissan,Ariya PREMIERE,54690.0
2023,Nissan,Ariya PLATINUM Plus,60190.0
2023,Nissan,Ariya EVOLVE e-4ORCE AWD,54190.0
2023,Nissan,Ariya ENGAGE e-4ORCE AWD,47190.0
2023,Nissan,Ariya e-4ORCE,55870.0
2023,Nissan,Ariya EMPOWER Plus,53690.0
2023,Nissan,Ariya EVOLVE Plus,50190.0
2023,Nissan,Ariya VENTURE Plus,47190.0
2023,Nissan,Ariya ENGAGE,43190.0
2023,Nissan,Altima 2.5 SL AWD,33490.0
2023,Nissan,Altima 2.5 SR AWD,28990.0
2023,Nissan,Altima 2.5 SR,27490.0
2023,Nissan,Altima 2.5 SV,26090.0
2023,Nissan,Rogue Platinum AWD,38640.0
2023,Nissan,Pathfinder Rock Creek,43020.0
2023,Nissan,Murano Platinum AWD,45210.0
2023,Nissan,Murano S AWD,35360.0
2023,Nissan,Murano AWD SV,38900.0
2023,Nissan,Murano SV AWD,38900.0
2023,Nissan,Murano SL AWD,42860.0
2023,Nissan,Sentra SR,22700.0
2023,Nissan,Armada SL,57760.0
2023,Nissan,Altima 2.5 SL,31990.0
2023,Nissan,Rogue SL AWD,35210.0
2023,Nissan,Formula E,57800.0
2023,Nissan,Z Performance Auto,49990.0
2023,Nissan,Armada S 4WD,52900.0
2023,Nissan,Altima 2.5 SV AWD,27590.0
2023,Nissan,Pathfinder Platinum 4WD,49870.0
2023,Nissan,Versa S CVT,18250.0
2023,Nissan,Z Sport Auto,39990.0
2023,Nissan,Z,39990.0
2023,Nissan,Armada SV 4WD,56900.0
2023,Nissan,Z GT4,229000.0
2023,Nissan,GT-R Premium,113540.0
2023,Nissan,GT-R,113540.0
2023,Nissan,Urvan,25600.0
2023,Nissan,350Z,37890.0
2023,Nissan,Juke,17700.0
2023,Audi,A3 Sedan Premium 40 TFSI quattro,37400.0
2023,Audi,Q5 Premium Plus 40 TFSI quattro,44200.0
2023,Audi,Q5 Prestige 40 TFSI quattro,44200.0
2023,Audi,SQ7 4.0T Premium Plus quattro,90200.0
2023,Audi,A3 Sedan Premium Plus 40 TFSI quattro,37400.0
2023,Audi,RS4 Avant competition,87320.0
2023,Audi,SQ8 e-tron quattro,97000.0
2023,Audi,Q8 55 e-tron quattro,75000.0
2023,Audi,Q8 Sportback 50 e-tron Quattro,69000.0
2023,Audi,Q8 Sportback 55 e-tron Quattro,77800.0
2023,Audi,SQ8 Sportback e-tron quattro,100800.0
2023,Audi,RS E-Tron GT Special Edition,179900.0
2023,Audi,Q3 Sportback,62020.0
2023,Audi,Q5,43500.0
2023,Audi,R8 Coupe,222000.0
2023,Audi,A4 Avant,45900.0
2023,Audi,SQ5 3.0T Premium Quattro,55600.0
2023,Audi,Q4 Sportback e-tron,58200.0
2023,Audi,Q4 50 e-tron Premium,55200.0
2023,Audi,Q4 50 e-tron Prestige,90800.0
2023,Audi,S6 2.9T Premium quattro,73700.0
2023,Audi,Q4 40 e-tron Premium Plus,90800.0
2023,Audi,RS7 Sportback,120900.0
2023,Audi,RS6 Avant Performance,118900.0
2023,Audi,RS3,58900.0
2023,Audi,R8 V10 GT RWD,225000.0
2023,Audi,A6 Premium Plus 45 TFSI quattro,55900.0
2023,Chevrolet,Camaro LT1 Convertible,42400.0
2023,Chevrolet,Camaro 1SS Convertible,45900.0
2023,Chevrolet,Camaro 2SS Convertible,50900.0
2023,Chevrolet,Corvette Stingray Limited Edition,90800.0
2023,Chevrolet,Bolt EV 65kWh,32500.0
2023,Chevrolet,Silverado EV RST,105000.0
2023,Chevrolet,Bolt EV 66kWh,37500.0
2023,Chevrolet,Silverado EV WT,40000.0
2023,Chevrolet,Colorado ZR2 Bison,43900.0
2023,Chevrolet,Corvette Z06 2LZ Coupe,114500.0
2023,Chevrolet,Corvette Z06 1LZ Coupe,105300.0
2023,Chevrolet,Camaro 2SS Coupe,44900.0
2023,Chevrolet,Camaro 1SS Coupe,39900.0
2023,Chevrolet,Camaro LT1 Coupe,36400.0
2023,Chevrolet,Camaro 3LT Coupe,32900.0
2023,Chevrolet,Camaro 2LT Coupe,28900.0
2023,Chevrolet,Camaro 1LT Coupe,26900.0
2023,Chevrolet,Blazer 2LT AWD,36100.0
2023,Chevrolet,Montana,25000.0
2023,Chevrolet,Onix,17195.0
2023,Ford,GT 68 Heritage Edition,1100000.0
2023,Ford,F-150 Shelby Centennial Edition,138500.0
2023,Ford,E-Tourneo Courier,39990.0
2023,Ford,F-150 Lightning LR AWD,81000.0
2023,Ford,Mustang Mach-E SR AWD,49000.0
2023,Ford,Mustang Mach-E SR,46000.0
2023,Ford,F-150 Lightning SR AWD,56000.0
2023,Ford,Shelby Mustang Mach-E GT,65400.0
2023,Ford,Transit Trail Camper Van 250,65970.0
2023,Ford,Ranger Wildtrak X,51000.0
2023,Ford,Transit Passenger Van,50130.0
2023,Ford,Bronco Sport,29210.0
2023,Ford,Mustang EcoBoost Premium Convertible,38290.0
2023,Ford,Ranger LARIAT,35500.0
2023,Ford,Mustang GT Premium,43360.0
2023,Ford,Mustang GT,38340.0
2023,Ford,Mustang EcoBoost Premium,32790.0
2023,Ford,Mustang Mach-E California Route 1,63570.0
2023,Ford,Mustang Mach-E Premium,54970.0
2023,Ford,F-450 Super Duty Limited,97810.0
2023,Ford,F-450 Super Duty Platinum,89455.0
2023,Ford,F-450 Super Duty King Ranch,85585.0
2023,Ford,F-450 Super Duty Lariat,73910.0
2023,Ford,F-450 Super Duty XLT,62645.0
2023,Ford,F-450 Super Duty XL,56625.0
2023,Ford,F-250 Super Duty Platinum,76865.0
2023,Ford,E-Transit Cargo Van 350,53790.0
2023,Ford,E-Transit Cargo Van 350 Chassis,50100.0
2023,Ford,Mustang,27770.0
2023,Ford,F-250 Super Duty King Ranch,75975.0
2023,Ford,F-250 Super Duty Lariat,61410.0
2023,Ford,Explorer Hybrid Limited,54060.0
2023,Ford,Expedition XL STX,54155.0
2023,Ford,Expedition Max XL 4x4,60200.0
2023,Ford,Escape Plug-In Hybrid,38500.0
2023,Ford,Bronco Sport Heritage Limited Edition,44655.0
2023,Ford,Bronco Sport Badlands,37340.0
2023,Ford,Bronco Sport Outer Banks,35615.0
2023,Ford,Bronco Sport Heritage Edition,32650.0
2023,Ford,Bronco Sport Big Bend,30930.0
2023,Ford,Bronco Sport Base,29215.0
2023,Ford,Bronco Heritage Limited Edition 4-Door,69185.0
2023,Ford,Bronco Heritage Limited Edition 2-Door,66895.0
2023,Mercedes,AMG G63 Grand Edition,249600.0
2023,Mercedes,EQA 300 4MATIC,57400.0
2023,Mercedes,EQS 350,102310.0
2023,Mercedes,EQA 350 4MATIC,60280.0
2023,Mercedes,EQV 250 Long,72720.0
2023,Mercedes,EQV 250 Extra Long,73680.0
2023,Mercedes,EQV 300 Long,76560.0
2023,Mercedes,EQV 300 Extra Long,77520.0
2023,Mercedes,AMG SL 43 Roadster,110000.0
2023,Mercedes,AMG SL43,110000.0
2023,Mercedes,EQS SUV 450 4MATIC,114470.0
2023,Mercedes,EQS 450 4MATIC,113050.0
2023,Mercedes,AMG CLS 53,87550.0
2023,Mercedes,EQT,50000.0
2023,Mercedes,Benz GLA-Class SUV,37500.0
2023,Mercedes,Benz GLB Class,39800.0
2023,Mercedes,AMG GT63 S E Performance,209600.0
2023,Mercedes,Benz EQA SUV,55300.0
2023,Mercedes,Benz S Class,243720.0
2023,Mercedes,AMG GLC 63 S 4MATIC Coupe,85600.0
2023,Mercedes,AMG C63 Coupe,81850.0
2023,Mercedes,Benz C Class Convertible,57250.0
2023,Mercedes,Benz C Class Coupe,49550.0
2023,Mercedes,AMG GT 53,106700.0
2023,Mercedes,Maybach GLS,170000.0
2023,Mercedes,AMG GT 53 4MATIC Plus,106800.0
2023,Mercedes,AMG GT,294070.0
2023,Porsche,718 Boxster GTS 4.0,92400.0
2023,Porsche,911 Dakar Dakar,222000.0
2023,Porsche,911 Turbo S by Mansory,232000.0
2023,Porsche,Taycan Art Car,200000.0
2023,Porsche,Panamera E-Hybrid Sport Turismo,113000.0
2023,Porsche,Panamera Sport Turismo,103200.0
2023,Porsche,Panamera Turbo,186400.0
2023,Porsche,Taycan Cross Turismo,97700.0
2023,Porsche,Cayenne Platinum Edition E-Hybrid,95500.0
2023,Porsche,Cayenne S Platinum Edition Coupe,97300.0
2023,Porsche,Cayenne S Coupe,95200.0
2023,Porsche,Cayenne S Platinum Edition,95100.0
2023,Porsche,Cayenne Platinum Edition,84800.0
2023,Porsche,Macan GTS,82900.0
2023,Porsche,Panamera 4S E-Hybrid Executive,130500.0
2023,Porsche,Panamera 4 E-Hybrid Platinum Edition,118800.0
2023,Porsche,Panamera 4 Platinum Edition,109300.0
2023,Porsche,Panamera Platinum Edition,105100.0
2023,Porsche,911 Turbo Cabriolet,195700.0
2023,Porsche,911 Targa Edition 50 Years Porsche Design,186200.0
2023,Porsche,911 Carrera GTS Cabriolet America,184920.0
2023,Porsche,911 Carrera 4 GTS Cabriolet,162700.0
2023,Porsche,718 Cayman S,75400.0
2023,Porsche,718 Cayman GTS 4.0,90300.0
2023,Porsche,718 Cayman T,72500.0
2023,Porsche,Panamera Hybrid,109000.0
2023,Porsche,Taycan Sport Turismo,136000.0
2023,Porsche,911 GT3 Touring Package,169700.0
2023,Porsche,911 GT3 Touring,170000.0
2023,Porsche,Macan,57500.0
2023,Porsche,Panamera 4,97000.0
2023,Porsche,Panamera,88400.0
2023,Porsche,911 Turbo S Cabriolet,228900.0
2023,Infiniti,QX50,40300.0
2023,Infiniti,QX80 Sensory AWD,87450.0
2023,Infiniti,QX80 Premium Select AWD,80400.0
2023,Infiniti,QX80 Luxe AWD,75800.0
2023,Infiniti,QX65,49200.0
